control,question,answer
ISM-1085,What does encrypt mean? ,Encryption is the process of encoding messages so they can only be read by authorized parties - ISM-1085
ISM-1088,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts, controls, and mitigation strategies. ISM-1088"
ISM-1089,What does protective marking mean?,"It refers to the use of special characters and symbols to indicate sensitive content within an email message, such as personal data or confidential information. ISM-1089"
ISM-1089,	What are some protective marking tools?,"Some protective marking tools include ISM-1089, which does not allow users to reply to or forward email with less restrictive classification than previous messages. ISM-1089"
ISM-1091,	What should an organization do to report cryptographic related cybersecurity incident?,An organization must change its keying material if it suspects that it has been compromised ISM-1091
ISM-1092,What type of machine should be used when sending sensitive or classified faxes?,"A separate fax machine or multifunction device (MFD) should be used for sending sensitive or classified fax messages, while all other fax messages can be sent using any standard fax machine ISM-1092"
ISM-1095,How does NAC control access to the network?,NAC controls access to the network by enforcing policy rules at each point of entry into the network. ISM-1095
ISM-1095,	What are some examples of labelling wall outlet boxes?,Some examples of labeling wall outlet boxes include: ISM-1095
ISM-1095,What does Wall Outlet Box mean? ,"It denotes the system, cable identifier and wall outlet box identifier - ISM-1095"
ISM-1096,What does source mean? ,The origin or starting point for something - ISM-1096
ISM-1096,	What does ISM-1096 mean?,It means Institute of Electrical and Electronics Engineers (IEEE) Standard for Information Technology - Telecommunications and information exchange between systems Local and metropolitan area networks - Specific requirements Part 1096 ISM-1096
ISM-1102,What should be done with cable reticulation systems?,They should be terminated as close as possible to the cabinet ISM-1102
ISM-1107,What colour should official and protected wall outlets be? ,Official and protected wall outlets must not be either salmon pink or red - ISM-1107
ISM-1107,	What colour are ISM-1107 OFFICIAL and PROTECTED wall outlet boxes?,Neither Salmon Pink Nor Red ISM-1107
ISM-1109,	What is the purpose of wall outlet box covers?,The purpose of wall outlet box covers is to protect electrical connections from dust and moisture ISM-1109
ISM-1111,	What is ISM-1111?,	ISM-1111 is a type of fiber optics cable which uses light pulses to transmit data over long distances ISM-1111
ISM-1111,What are fibre optics? ,"Fibre optics refers to the use of optical fibres as a medium for transmitting light between two points, typically over long distances. - ISM-1111"
ISM-1112,How often should cables be inspected? ,At least every 5 metres - ISM-1112
ISM-1114,	What are some examples of common cable reticulation systems?,Some examples of common cable reticulation systems include ISM-1114 Cable Bundles or Conduits Sharing a Common Cable Reticulation System Have a Dividing Partition or Visible Gap Between Each Cable Bundle and Conduit ISM-1114
ISM-1115,What type of cables should be used for running control wiring?,Flexible or plastic conduits ISM-1115
ISM-1119,Are cables in top secret areas inspected?,"Yes, they are fully inspectable for their entire length ISM-1119"
ISM-1119,	What does fully inspectable mean?,Fully Inspectable means that all cables can be inspected at any point along its length without disrupting service or compromising data integrity ISM-1119
